,Year,Comm. Code,Weight (kg),Quantity
8661,2022,290110,3256437248.263,3256437248.263
8662,2022,290121,2067548735.0,2067548735.0
8664,2022,290122,2337132608.0,2337132608.0
8666,2022,290123,54012338.375,54012338.375
8668,2022,290124,170614986.222,170614986.222
8670,2022,290129,120407729.201,120407729.201
8672,2022,290211,,
8674,2022,290219,14590782.952,14590782.952
8677,2022,290220,3321719837.759,3321719837.759
8678,2022,290230,67683626.449,67683626.449
8681,2022,290241,61029556.1,61029556.1
8683,2022,290242,46454384.042,46454384.042
8684,2022,290243,10582457252.989,10582457252.989
8686,2022,290244,,
8688,2022,290250,1143180543.843,1143180543.843
8690,2022,290260,104.453,104.453
8692,2022,290270,559221102.851,559221102.851
8694,2022,290290,35871195.981,35871195.981
8695,2022,290311,78029.302,78029.302
8697,2022,290312,95688.225,95688.225
8700,2022,290313,1017.0,1017.0
8702,2022,290315,139480521.921,139480521.921
8704,2022,290319,3728108.685,3728108.685
8705,2022,290321,922127780.0,922127780.0
8708,2022,290322,1001170.0,1001170.0
8709,2022,290323,61258893.587,61258893.587
8712,2022,290329,94375.689,94375.689
8713,2022,290341,156234.0,156234.0
8716,2022,290342,46365.0,46365.0
8718,2022,290343,27700.0,27700.0
8720,2022,290344,295600.0,295600.0
8721,2022,290345,263452.0,263452.0
8723,2022,290346,119418.0,119418.0
8726,2022,290348,229380.0,229380.0
8727,2022,290349,351772.379,351772.379
8729,2022,290351,507459.0,507459.0
8732,2022,290359,393204.0,393204.0
8735,2022,290369,3615112.289,3615112.289
8739,2022,290374,2730612.0,2730612.0
8743,2022,290377,9863.943,9863.943
8745,2022,290378,20491.003,20491.003
8746,2022,290379,90396.073,90396.073
8749,2022,290389,7210764.128,7210764.128
8750,2022,290391,1161357.563,1161357.563
8753,2022,290399,17856598.648,17856598.648
8755,2022,290410,14511806.488,14511806.488
8757,2022,290420,8668887.255,8668887.255
8760,2022,290499,6907659.25,6907659.25
8762,2022,290511,12193027458.27,12193027458.27
8764,2022,290512,90767825.532,90767825.532
8766,2022,290513,159213050.651,159213050.651
8767,2022,290514,90445129.189,90445129.189
8770,2022,290516,161409249.388,161409249.388
8772,2022,290517,51556403.072,51556403.072
8774,2022,290519,201004472.219,201004472.219
8775,2022,290522,,
8777,2022,290529,174594432.607,174594432.607
8779,2022,290531,7510692479.175,7510692479.175
8781,2022,290532,64328726.753,64328726.753
8783,2022,290539,140034699.467,140034699.467
8786,2022,290541,1230256.0,1230256.0
8788,2022,290542,6373082.55,6373082.55
8789,2022,290543,1224429.951,1224429.951
8792,2022,290544,1133571.192,1133571.192
8794,2022,290545,491519589.935,491519589.935
8796,2022,290549,1212857.006,1212857.006
8798,2022,290559,1050717.778,1050717.778
8799,2022,290611,14933109.997,14933109.997
8802,2022,290612,7229.208,7229.208
8803,2022,290613,2190558.252,2190558.252
8805,2022,290619,2651590.142,2651590.142
8808,2022,290621,1026245.646,1026245.646
8810,2022,290629,2446219.238,2446219.238
8811,2022,290711,,
8813,2022,290712,4540207.314,4540207.314
8815,2022,290713,17826273.755,17826273.755
8817,2022,290715,53589.645,53589.645
8820,2022,290719,38006625.942,38006625.942
8821,2022,290721,2387679.643,2387679.643
8824,2022,290722,6806478.179,6806478.179
8825,2022,290723,431875762.559,431875762.559
8828,2022,290729,19947041.128,19947041.128
8830,2022,290819,86288510.486,86288510.486
8831,2022,290899,513926.013,513926.013
8835,2022,290919,55605961.201,55605961.201
8837,2022,290920,509964.147,509964.147
8838,2022,290930,9488819.07,9488819.07
8841,2022,290941,541219392.564,541219392.564
8842,2022,290943,179123494.081,179123494.081
8844,2022,290944,16443700.209,16443700.209
8847,2022,290949,81896956.974,81896956.974
8849,2022,290950,7326476.009,7326476.009
8850,2022,290960,5057692.358,5057692.358
8853,2022,291010,360.0,360.0
8854,2022,291020,304230977.882,304230977.882
8856,2022,291030,1842333.245,1842333.245
8859,2022,291090,11283226.109,11283226.109
8861,2022,291100,1498520.382,1498520.382
8863,2022,291211,22277.572,22277.572
8865,2022,291212,243.636,243.636
8866,2022,291219,27883130.937,27883130.937
8868,2022,291221,337697.374,337697.374
8870,2022,291229,5838798.69,5838798.69
8873,2022,291241,77535.952,77535.952
8874,2022,291242,107089.447,107089.447
8877,2022,291249,5378338.632,5378338.632
8879,2022,291250,381307.588,381307.588
8881,2022,291260,16719498.192,16719498.192
8882,2022,291300,4394043.637,4394043.637
8884,2022,291411,715279055.001,715279055.001
8887,2022,291412,367530.0,367530.0
8888,2022,291413,21350048.366,21350048.366
8890,2022,291419,7052771.224,7052771.224
8892,2022,291422,,
8895,2022,291423,2186310.081,2186310.081
8897,2022,291429,7635527.254,7635527.254
8898,2022,291439,356493.197,356493.197
8900,2022,291440,5330982.459,5330982.459
8902,2022,291450,1596959.362,1596959.362
8905,2022,291461,563557.758,563557.758
8907,2022,291462,7856.905,7856.905
8909,2022,291469,1634380.13,1634380.13
8910,2022,291479,437117.607,437117.607
8912,2022,291511,113842.622,113842.622
8914,2022,291512,1022397.474,1022397.474
8917,2022,291513,104963.61,104963.61
8918,2022,291521,1846887.909,1846887.909
8920,2022,291524,1221764.0,1221764.0
8922,2022,291529,4843054.665,4843054.665
8925,2022,291531,1346702.75,1346702.75
8927,2022,291532,284020299.166,284020299.166
8929,2022,291533,1675673.0,1675673.0
8930,2022,291539,14899158.842,14899158.842
8932,2022,291540,,
8935,2022,291550,16898561.652,16898561.652
8936,2022,291560,,
8939,2022,291570,63321458.349,63321458.349
8941,2022,291590,253432637.36,253432637.36
8943,2022,291611,35761852.576,35761852.576
8944,2022,291612,,
8946,2022,291613,9441086.33,9441086.33
8948,2022,291614,,
8950,2022,291615,4728577.177,4728577.177
8952,2022,291616,,
8954,2022,291619,4240317.87,4240317.87
8955,2022,291620,2386249.852,2386249.852
8957,2022,291631,,
8959,2022,291632,952346.277,952346.277
8961,2022,291634,17288.865,17288.865
8964,2022,291639,792415.734,792415.734
8965,2022,291711,336774.626,336774.626
8968,2022,291712,8889052.815,8889052.815
8969,2022,291713,842276.871,842276.871
8972,2022,291714,757300.427,757300.427
8974,2022,291719,3761654.493,3761654.493
8976,2022,291720,30264553.124,30264553.124
8978,2022,291732,5396084.339,5396084.339
8980,2022,291733,23498558.903,23498558.903
8982,2022,291734,15796581.532,15796581.532
8983,2022,291735,,
8986,2022,291736,72407808.844,72407808.844
8987,2022,291737,39202044.419,39202044.419
8990,2022,291739,295720893.979,295720893.979
8991,2022,291811,16293059.945,16293059.945
8993,2022,291812,251663.104,251663.104
8995,2022,291813,346893.838,346893.838
8997,2022,291814,2296095.886,2296095.886
9000,2022,291815,1337450.56,1337450.56
9002,2022,291816,968669.924,968669.924
9004,2022,291819,5611718.176,5611718.176
9006,2022,291821,67552.444,67552.444
9009,2022,291822,3251.261,3251.261
9011,2022,291823,399396.466,399396.466
9012,2022,291829,,
